epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,115.837,1.69111,6.55533,0.00667,0.00286,0.06035,0.00178,0.00131,0.99622,5.38467,0.00412,9.66005e-06,9.66005e-06,9.66005e-06
2,226.234,1.65146,4.85624,0.00637,0.51963,0.01901,0.0069,0.00517,1.01716,4.19463,0.0042,1.9322e-05,1.9322e-05,1.9322e-05
3,338.088,1.6009,4.07204,0.00612,0.45407,0.02366,0.01708,0.01284,0.99191,3.49942,0.00409,2.89651e-05,2.89651e-05,2.89651e-05
4,450.339,1.57129,3.61299,0.00603,0.43256,0.03987,0.03124,0.02324,1.00697,3.07172,0.00418,2.89363e-05,2.89363e-05,2.89363e-05
5,561.987,1.57384,3.32824,0.00615,0.43928,0.04962,0.04432,0.03267,1.03035,2.77587,0.00428,2.88868e-05,2.88868e-05,2.88868e-05
6,672.487,1.54008,3.08073,0.00595,0.47453,0.05977,0.05642,0.04192,1.01287,2.55207,0.00423,2.88233e-05,2.88233e-05,2.88233e-05
7,785.829,1.52912,2.86872,0.00589,0.47823,0.06544,0.0671,0.04923,1.039,2.36367,0.00436,2.87457e-05,2.87457e-05,2.87457e-05
8,897.203,1.53277,2.72382,0.00598,0.4606,0.07737,0.079,0.05794,1.03748,2.20341,0.00438,2.86543e-05,2.86543e-05,2.86543e-05
9,1007.87,1.52278,2.56494,0.00578,0.45625,0.08733,0.0915,0.06785,1.01134,2.06482,0.00424,2.8549e-05,2.8549e-05,2.8549e-05
10,1118.39,1.51488,2.48749,0.00583,0.39372,0.10604,0.10234,0.07545,1.01474,1.9528,0.00418,2.843e-05,2.843e-05,2.843e-05
11,1229.17,1.49512,2.38292,0.00565,0.41439,0.1097,0.11092,0.08176,1.04084,1.87471,0.00426,2.82974e-05,2.82974e-05,2.82974e-05
12,1339.91,1.4709,2.28641,0.00554,0.40603,0.12005,0.11996,0.0897,1.00289,1.80913,0.00417,2.81513e-05,2.81513e-05,2.81513e-05
13,1451.02,1.45781,2.23487,0.00556,0.3893,0.13464,0.13129,0.09766,1.01161,1.73117,0.00424,2.79919e-05,2.79919e-05,2.79919e-05
14,1561.74,1.43894,2.14228,0.00547,0.43787,0.12662,0.13953,0.1037,1.01801,1.69079,0.00421,2.78194e-05,2.78194e-05,2.78194e-05
