epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,110.421,1.82636,3.67177,0.00818,0.4725,0.05017,0.04105,0.02406,1.42618,2.62287,0.00652,0.000199818,0.000199818,0.080218
2,208.705,1.71694,2.59289,0.00766,0.48839,0.10595,0.10062,0.06675,1.25018,2.07355,0.00539,0.000399793,0.000399793,0.060418
3,305.11,1.66014,2.17501,0.00741,0.50144,0.1501,0.15717,0.10384,1.24615,1.72209,0.00548,0.000599671,0.000599671,0.0406179
4,401.491,1.636,1.96584,0.00724,0.49812,0.17817,0.20185,0.13776,1.2051,1.56712,0.00523,0.000799378,0.000799378,0.0208176
5,496.96,1.58982,1.78567,0.00705,0.49367,0.24112,0.25707,0.17595,1.18165,1.43551,0.00514,0.000998841,0.000998841,0.00101707
6,592.182,1.57659,1.70891,0.0069,0.50044,0.25108,0.28171,0.19148,1.19997,1.4298,0.00521,0.000998474,0.000998474,0.000998474
7,687.535,1.55056,1.63421,0.00682,0.49952,0.25701,0.29493,0.20588,1.17814,1.32326,0.00517,0.000997803,0.000997803,0.000997803
8,783.188,1.5331,1.51651,0.00662,0.56379,0.28119,0.32407,0.21637,1.23364,1.2754,0.0052,0.000997011,0.000997011,0.000997011
9,878.753,1.50847,1.47473,0.00651,0.59779,0.27098,0.34357,0.23591,1.14349,1.21455,0.00497,0.000996097,0.000996097,0.000996097
10,974.085,1.48142,1.41615,0.00635,0.55762,0.32311,0.38065,0.27218,1.12856,1.14511,0.00493,0.000995062,0.000995062,0.000995062
11,1069.51,1.45761,1.36381,0.00629,0.54932,0.32442,0.35609,0.25113,1.07368,1.13991,0.00458,0.000993906,0.000993906,0.000993906
12,1164.86,1.42231,1.31465,0.00614,0.59907,0.31565,0.38358,0.27618,1.07519,1.11381,0.0046,0.000992629,0.000992629,0.000992629
13,1260.17,1.39853,1.26296,0.00602,0.52914,0.35687,0.38588,0.28352,1.06127,1.05443,0.00459,0.000991232,0.000991232,0.000991232
14,1355.61,1.38387,1.21058,0.00597,0.59104,0.33468,0.40064,0.29499,1.07333,1.06278,0.00464,0.000989715,0.000989715,0.000989715
15,1450.93,1.38187,1.18877,0.0059,0.5769,0.35321,0.40228,0.2963,1.04373,1.03684,0.00453,0.000988079,0.000988079,0.000988079
16,1546.41,1.35566,1.1613,0.00573,0.63581,0.302,0.40308,0.2982,1.01623,1.05693,0.00434,0.000986323,0.000986323,0.000986323
17,1641.83,1.32866,1.12805,0.00562,0.5564,0.35655,0.41158,0.30161,1.037,1.02491,0.00445,0.000984449,0.000984449,0.000984449
18,1737.42,1.322,1.11318,0.00556,0.59813,0.3313,0.40745,0.30491,1.01007,1.02363,0.00439,0.000982456,0.000982456,0.000982456
19,1832.83,1.27954,1.04137,0.00543,0.59689,0.36109,0.41446,0.30684,1.01041,0.99343,0.00428,0.000980345,0.000980345,0.000980345
20,1928.06,1.29182,1.03832,0.00543,0.59555,0.34552,0.40674,0.30392,1.00695,1.03428,0.00429,0.000978118,0.000978118,0.000978118
21,2023.34,1.26788,0.99057,0.00528,0.58935,0.37171,0.43618,0.32696,1.01439,0.98251,0.0043,0.000975773,0.000975773,0.000975773
22,2118.7,1.25219,0.96932,0.00531,0.6078,0.37592,0.43811,0.31918,1.03503,0.98909,0.00448,0.000973312,0.000973312,0.000973312
23,2213.84,1.24468,0.93274,0.0052,0.56485,0.36783,0.42626,0.31775,1.00608,0.99338,0.00432,0.000970736,0.000970736,0.000970736
24,2309.17,1.23953,0.92468,0.00515,0.59959,0.35689,0.43485,0.32212,1.02172,0.99495,0.00442,0.000968045,0.000968045,0.000968045
25,2404.51,1.23361,0.91289,0.00513,0.59345,0.36688,0.43198,0.32036,1.01786,0.97864,0.0043,0.000965239,0.000965239,0.000965239
26,2499.79,1.19672,0.86498,0.00494,0.59317,0.37677,0.44381,0.334,0.98752,0.99249,0.00422,0.00096232,0.00096232,0.00096232
27,2595.11,1.20826,0.86202,0.00506,0.53455,0.40559,0.4363,0.32842,0.99723,0.98694,0.00427,0.000959289,0.000959289,0.000959289
28,2690.36,1.19482,0.85773,0.0049,0.5809,0.38868,0.43315,0.32335,0.98137,0.969,0.00419,0.000956145,0.000956145,0.000956145
29,2785.65,1.18446,0.83638,0.00489,0.56297,0.36377,0.43109,0.32025,0.99992,0.96708,0.00424,0.000952889,0.000952889,0.000952889
30,2880.88,1.19328,0.82721,0.00496,0.61869,0.37013,0.43867,0.32535,1.0043,0.97477,0.00432,0.000949524,0.000949524,0.000949524
31,2976.25,1.15493,0.8014,0.00478,0.56561,0.38914,0.44393,0.33712,0.98725,0.96876,0.0042,0.000946048,0.000946048,0.000946048
32,3071.76,1.14358,0.78176,0.00474,0.58929,0.38929,0.44386,0.32911,0.98922,0.97405,0.00424,0.000942464,0.000942464,0.000942464
33,3167.02,1.14377,0.77473,0.00467,0.60393,0.38387,0.44411,0.33301,1.00112,0.98236,0.00429,0.000938772,0.000938772,0.000938772
34,3262.35,1.13699,0.76907,0.00461,0.63864,0.37477,0.45259,0.34468,0.98389,0.95818,0.00418,0.000934973,0.000934973,0.000934973
35,3357.84,1.12106,0.75524,0.00461,0.60398,0.38841,0.44145,0.33173,0.98478,0.97812,0.0042,0.000931067,0.000931067,0.000931067
36,3453.22,1.12787,0.73587,0.00455,0.63156,0.38529,0.45524,0.34457,0.97468,0.96873,0.00412,0.000927057,0.000927057,0.000927057
37,3548.44,1.09987,0.70612,0.00454,0.60767,0.35308,0.42381,0.31829,0.98395,0.97603,0.00418,0.000922942,0.000922942,0.000922942
38,3643.73,1.08404,0.70194,0.00436,0.56849,0.39055,0.43337,0.32418,0.97863,1.00998,0.00415,0.000918725,0.000918725,0.000918725
39,3739.03,1.07764,0.68506,0.00444,0.61732,0.38895,0.45274,0.33804,0.97435,0.9759,0.00416,0.000914405,0.000914405,0.000914405
40,3834.21,1.08559,0.71402,0.00445,0.63122,0.37064,0.45845,0.34686,0.97576,0.99083,0.00416,0.000909984,0.000909984,0.000909984
41,3929.63,1.06587,0.67126,0.00437,0.59686,0.39876,0.47649,0.36153,0.97859,0.97401,0.00418,0.000905463,0.000905463,0.000905463
42,4025.01,1.0778,0.67155,0.00438,0.64608,0.39011,0.46102,0.34771,0.96581,1.01081,0.00408,0.000900844,0.000900844,0.000900844
43,4120.2,1.05713,0.66437,0.00428,0.55317,0.41986,0.4645,0.35186,0.98027,1.00337,0.00416,0.000896127,0.000896127,0.000896127
